,partition
0,1859
1,176
2,113
3,1583
4,99
5,47
6,1584
7,1601
8,4
9,1585
10,1
11,1
12,1586
13,1587
14,2415
15,2046
16,2067
17,746
18,622
19,2301
20,747
21,748
22,967
23,749
24,750
25,1905
26,2829
27,1623
28,15
29,751
30,2244
31,2397
32,526
33,1438
34,15
35,385
36,138
37,2378
38,1067
39,386
40,2475
41,540
42,387
43,37
44,2536
45,2
46,24
47,343
48,1159
49,6
50,254
51,1319
52,110
53,16
54,1674
55,436
56,512
57,1924
58,16
59,1551
60,15
61,1120
62,437
63,2496
64,2
65,575
66,2
67,576
68,577
69,216
70,578
71,15
72,1
73,2422
74,37
75,61
76,2
77,1575
78,85
79,791
80,568
81,2
82,68
83,569
84,2044
85,581
86,102
87,2200
88,1566
89,1175
90,570
91,2536
92,2266
93,1257
94,571
95,767
96,8
97,264
98,564
99,712
100,1223
101,265
102,1665
103,22
104,266
105,991
106,833
107,1838
108,854
109,1290
110,311
111,60
112,2761
113,2150
114,32
115,1
116,2668
117,461
118,462
119,463
120,2577
121,1657
122,464
123,807
124,731
125,465
126,1607
127,466
128,669
129,1215
130,670
131,102
132,374
133,374
134,853
135,1116
136,671
137,238
138,2569
139,622
140,4
141,116
142,1386
143,257
144,15
145,552
146,2173
147,553
148,554
149,138
150,2344
151,555
152,556
153,1683
154,557
155,51
156,2363
157,1959
158,1669
159,1762
160,44
161,847
162,1
163,45
164,2083
165,425
166,1845
167,33
168,713
169,46
170,828
171,178
172,124
173,1553
174,47
175,48
176,690
177,800
178,15
179,2682
180,213
181,214
182,1046
183,577
184,1451
185,215
186,2245
187,86
188,407
189,1831
190,1430
191,2580
192,1363
193,388
194,1081
195,1147
196,389
197,655
198,2362
199,460
200,1811
201,2
202,633
203,15
204,390
205,2772
206,1651
207,728
208,1088
209,1089
210,1090
211,2408
212,1091
213,1092
214,1093
215,57
216,1660
217,1094
218,2262
219,2207
220,1244
221,80
222,214
223,1095
224,2600
225,306
226,1776
227,378
228,617
229,915
230,916
231,917
232,461
233,15
234,39
235,593
236,2700
237,918
238,1485
239,2523
240,365
241,684
242,1451
243,2148
244,775
245,1343
246,1074
247,905
248,660
249,6
250,366
251,2059
252,15
253,367
254,1545
255,510
256,2
257,1139
258,60
259,1140
260,73
261,2
262,1
263,2229
264,1141
265,145
266,1136
267,1142
268,1143
269,1144
270,1379
271,336
272,716
273,2816
274,35
275,257
276,1693
277,1864
278,1280
279,45
280,258
281,570
282,596
283,15
284,259
285,1410
286,1620
287,11
288,458
289,95
290,1826
291,2
292,110
293,459
294,2639
295,1286
296,2280
297,36
298,2
299,1686
300,1703
301,460
302,537
303,1053
304,1708
305,1041
306,281
307,16
308,2034
309,16
310,2
311,38
312,2647
313,282
314,145
315,32
316,2
317,283
318,2468
319,284
320,65
321,2371
322,945
323,2372
324,2373
325,2374
326,2375
327,2376
328,56
329,2377
330,1504
331,2378
332,2
333,171
334,37
335,17
336,1949
337,680
338,2537
339,2
340,2
341,754
342,666
343,1975
344,38
345,16
346,2
347,1250
348,667
349,15
350,38
351,668
352,874
353,875
354,876
355,113
356,877
357,878
358,20
359,2336
360,879
361,123
362,880
363,1156
364,881
365,33
366,110
367,102
368,827
369,828
370,2
371,2702
372,33
373,149
374,829
375,89
376,196
377,830
378,94
379,446
380,688
381,337
382,1631
383,1451
384,2683
385,1690
386,1691
387,39
388,2643
389,1692
390,2
391,1693
392,2632
393,1694
394,1695
395,1696
396,39
397,1697
398,2
399,1860
400,239
401,766
402,767
403,1510
404,95
405,768
406,2
407,769
408,585
409,770
410,771
411,1639
412,15
413,772
414,1334
415,1079
416,1895
417,26
418,629
419,43
420,196
421,1522
422,183
423,2503
424,630
425,51
426,15
427,740
428,15
429,196
430,561
431,1724
432,2058
433,330
434,176
435,1452
436,356
437,615
438,148
439,119
440,102
441,331
442,1610
443,332
444,1451
445,893
446,333
447,334
448,1901
449,109
450,1038
451,52
452,976
453,1405
454,53
455,42
456,1095
457,875
458,2
459,2481
460,545
461,2
462,1858
463,2219
464,1553
465,1554
466,317
467,1555
468,1556
469,1557
470,1558
471,1559
472,2
473,1560
474,1561
475,1562
476,2
477,1646
478,1563
479,1564
480,196
481,2
482,1898
483,1899
484,2
485,2101
486,99
487,747
488,1900
489,2491
490,1901
491,1902
492,37
493,1903
494,18
495,39
496,15
497,951
498,1964
499,1197
500,14
501,1127
502,1944
503,952
504,1714
505,953
506,2
507,2552
508,954
509,122
510,955
511,686
512,1273
513,2
514,138
515,2
516,741
517,886
518,742
519,743
520,1218
521,39
522,2424
523,2
524,744
525,745
526,2
527,598
528,39
529,537
530,538
531,2
532,2328
533,2
534,539
535,1849
536,2163
537,2061
