Q4082212,Q7715184,Q6111464,Q28389,P155,P58,P106
Q2723827,Q185173,Q734768,Q5137571,P54,P286,P106
Q3090093,Q82955,Q7163,Q1711347,P106,P425,P527
Q5046202,Q16275174,Q8229,Q3772237,P735,P282,P2184
Q16018708,Q3044572,Q4979549,Q36687,P54,P115,P131
Q1352535,Q680449,Q28009454,Q700427,P47,P1366,P131
Q7354461,Q812,Q488461,Q721475,P131,P150,P36
Q16998682,Q6838193,Q23100,Q1067984,P162,P19,P47
Q4628274,Q1707697,Q218,Q191384,P3450,P17,P463
Q2088026,Q408,Q312722,Q6865809,P17,P6,P39
Q2674977,Q55,Q781813,Q595668,P17,P6,P108
Q5258307,Q639292,Q1187221,Q1193018,P735,P460,P1560
Q18631336,Q30,Q49,Q27611,P27,P361,P527
Q1607477,Q36,Q54180,Q5138571,P27,P150,P237
Q8016897,Q483501,Q735,Q11042,P106,P425,P361
Q5019392,Q1989,Q693558,Q136874,P131,P163,P180
Q4852810,Q5092,Q1676331,Q1016159,P1001,P6,P19
Q22974007,Q490595,Q494541,Q501029,P19,P131,P47
Q6197825,Q15868042,Q941049,Q150,P735,P460,P407
Q18811033,Q6584302,Q2458,Q110,P735,P1750,P361
Q7189759,Q1147371,Q35409,Q36602,P171,P105,P361
Q1370954,Q4377230,Q1141322,Q1225994,P39,P263,P138
Q214148,Q30,Q16644,Q21863882,P17,P150,P6
Q8059373,Q93204,Q135498,Q1636612,P136,P166,P1027
Q7902174,Q1363261,Q4134112,Q100,P112,P40,P20
Q5228119,Q668,Q604055,Q2280376,P17,P421,P1365
Q1361330,Q232936,Q3359163,Q227936,P171,P2743,P105
Q7319181,Q1840172,Q376876,Q374334,P19,P131,P47
Q670339,Q2598693,Q14159020,Q35218,P735,P460,P407
Q1014907,Q1974,Q637134,Q806865,P131,P163,P136
Q18763930,Q1150893,Q5390,Q5385,P19,P421,P156
Q142879,Q77083,Q7320,Q76367,P138,P102,P488
Q5372491,Q490980,Q954410,Q7892208,P131,P138,P119
Q6137041,Q92820,Q2739680,Q47265,P184,P463,P159
Q1506771,Q213347,Q21,Q489607,P3450,P2541,P85
Q128969,Q3993082,Q40533,Q41009,P170,P20,P47
Q3394762,Q12279886,Q41,Q663492,P20,P17,P463
Q2705462,Q966758,Q239,Q28898,P664,P159,P47
Q626372,Q16256572,Q9176,Q485619,P734,P407,P282
Q14709519,Q1456,Q38453,Q100188,P131,P36,P190
Q15141864,Q8470,Q165698,Q5137571,P1344,P543,P106
Q180268,Q30,Q35648,Q5081626,P495,P6,P40
Q6411601,Q51,Q722537,Q200325,P30,P2184,P361
Q2813699,Q1815399,Q258,Q1653438,P361,P17,P2853
Q5005126,Q2461612,Q106681,Q7371646,P131,P47,P206
Q5647064,Q771,Q97,Q715269,P131,P1589,P361
Q5777459,Q794,Q34675,Q842,P17,P206,P205
Q38250761,Q894094,Q24550,Q7406048,P131,P1366,P1365
Q1356798,Q38,Q229,Q59148,P17,P530,P150
Q6573343,Q95074,Q47223,Q14819852,P360,P1552,P547
Q1334572,Q310394,Q2061166,Q1437214,P161,P22,P119
Q20649439,Q1680185,Q3191536,Q984138,P161,P26,P19
Q955519,Q659745,Q2309448,Q1250,P361,P276,P131
Q14089080,Q1303330,Q2455704,Q35409,P171,P105,P361
Q779172,Q55,Q735519,Q2673126,P17,P6,P102
Q5304083,Q6455523,Q43445,Q182353,P40,P21,P1344
Q18629,Q1156334,Q179636,Q23197,P127,P355,P159
Q1094104,Q29303,Q383369,Q457707,P36,P190,P47
Q7826313,Q1397,Q485650,Q936217,P131,P150,P36
Q5499925,Q123078,Q492207,Q3182964,P50,P800,P674
Q16385138,Q237242,Q21034720,Q8229,P50,P735,P282
Q554243,Q8593,Q152356,Q108689,P131,P706,P186
Q2085898,Q7676255,Q8229,Q3772237,P734,P282,P2184
Q7771023,Q560153,Q1375809,Q6607,P175,P527,P1303
Q248229,Q587996,Q209021,Q384097,P20,P190,P47
Q5552088,Q5375,Q21,Q171117,P641,P495,P163
Q4795599,Q7426952,Q129286,Q2335204,P22,P27,P163
Q15455891,Q540441,Q7884,Q3750,P19,P131,P47
Q3760835,Q219623,Q309996,Q6782765,P1441,P123,P112
Q5175566,Q183,Q2563,Q96061,P17,P35,P26
Q6731185,Q51,Q35086,Q3341354,P30,P150,P6
Q246115,Q2152637,Q42448,Q1007634,P123,P159,P190
Q4996864,Q7242211,Q83270,Q2714734,P175,P136,P1441
Q4802655,Q162612,Q167715,Q1538311,P131,P36,P1376
Q22097343,Q17042,Q484678,Q28967495,P19,P47,P6
Q795882,Q799144,Q1040,Q562295,P664,P159,P206
Q5336560,Q2349502,Q54064,Q54066,P19,P131,P47
Q1243417,Q40,Q41550,Q7072444,P27,P463,P355
Q4796774,Q173782,Q524154,Q150,P149,P737,P103
Q3364185,Q827311,Q15727141,Q5146,P735,P460,P407
Q5328443,Q16957,Q168396,Q161156,P710,P194,P159
Q6693306,Q889,Q2386705,Q1194049,P17,P194,P527
Q23302763,Q30,Q12312,Q2076252,P17,P6,P19
Q7323574,Q59853,Q6633259,Q215627,P734,P2354,P360
Q2904803,Q225,Q194483,Q322828,P17,P150,P36
Q2561343,Q227216,Q10762,Q10739,P19,P131,P47
Q27996724,Q1492,Q973064,Q7026,P276,P6,P1412
Q609848,Q2310530,Q100152,Q1006363,P131,P47,P36
Q2750460,Q10313,Q1633909,Q235857,P131,P47,P417
Q675786,Q40,Q1260,Q876973,P27,P35,P69
Q5271671,Q5112,Q61092,Q2111318,P19,P190,P131
Q6622071,Q215627,Q8425,Q21201,P360,P461,P2579
Q567719,Q677490,Q3974,Q841074,P47,P36,P190
Q5406783,Q11684,Q35409,Q36602,P171,P105,P361
Q18160093,Q5561060,Q222595,Q275482,P170,P241,P361
Q86300,Q183,Q37143,Q1764511,P27,P463,P1889
Q16952754,Q483463,Q10882833,Q159354,P361,P527,P641
Q2259354,Q1741,Q33935,Q152413,P131,P190,P47
Q5220922,Q128147,Q393,Q682318,P19,P190,P1376
Q412947,Q425450,Q205668,Q1884324,P2155,P2695,P138
Q2567607,Q3016039,Q23666,Q1693,P25,P19,P206
Q4043874,Q4037024,Q1937312,Q1937905,P156,P361,P155
Q27995329,Q30,Q1183,Q7332181,P17,P150,P6
Q6173618,Q37043,Q845866,Q192811,P19,P190,P131
Q5045730,Q501319,Q511120,Q754573,P131,P47,P36
Q7423228,Q812,Q255943,Q568950,P131,P150,P36
Q25909388,Q79423,Q61143,Q61170,P19,P131,P47
Q772435,Q219780,Q1399262,Q7620994,P50,P800,P123
Q3362930,Q408,Q1506724,Q3130,P27,P1304,P159
Q19720737,Q2736,Q1381731,Q765734,P641,P2283,P1889
Q15711253,Q816669,Q1229764,Q1223741,P195,P112,P22
Q17035174,Q985341,Q54064,Q18424,P159,P131,P47
Q7011845,Q3524898,Q2918388,Q3224,P991,P20,P131
Q24909230,Q5372,Q30,Q7804,P641,P495,P463
Q7086058,Q907112,Q7270,Q49890,P27,P122,P527
Q138273,Q134858,Q251656,Q227936,P171,P2743,P105
Q1044584,Q5,Q48277,Q290,P360,P1552,P1889
Q6479209,Q1062,Q7347,Q1066,P47,P361,P527
Q16962092,Q683082,Q38903,Q2937480,P175,P264,P355
Q18672492,Q1707243,Q7648659,Q15070114,P1038,P40,P26
Q5761193,Q615382,Q303116,Q2303124,P131,P47,P1889
Q1528918,Q912407,Q5020415,Q99,P20,P137,P131
Q2904207,Q2891446,Q174158,Q1218,P57,P69,P131
Q6477444,Q59596,Q744239,Q7990620,P131,P36,P768
Q1210863,Q3370651,Q4925623,Q2064096,P161,P735,P460
Q6970348,Q30,Q34597,Q157148,P17,P6,P410
Q11731875,Q650984,Q2443746,Q202160,P131,P47,P36
Q1381089,Q748078,Q3441849,Q215,P19,P190,P17
Q6660062,Q7140469,Q145,Q843589,P19,P17,P421
Q3815827,Q4007759,Q242505,Q15119,P58,P20,P131
Q1797231,Q5367603,Q16423214,Q8229,P26,P735,P282
Q19585927,Q19481,Q6411959,Q1861,P54,P127,P159
Q5515832,Q4925914,Q1007221,Q652,P735,P1560,P407
Q6948042,Q3331345,Q2455704,Q35409,P171,P105,P361
Q5361570,Q20,Q337301,Q3433262,P27,P6,P40
Q1721658,Q153818,Q547258,Q441605,P86,P800,P87
Q899243,Q17,Q819,Q465929,P17,P530,P150
Q6344990,Q277699,Q14943379,Q3595207,P161,P3373,P40
Q118567,Q920263,Q548937,Q6954875,P54,P118,P2500
Q18165776,Q1159009,Q1715043,Q294,P735,P460,P407
Q7409361,Q406,Q1520,Q485056,P20,P190,P47
Q614234,Q1813585,Q6723,Q190252,P36,P421,P460
Q4876088,Q16552,Q13785,Q62729,P159,P190,P150
Q5247340,Q444534,Q83786,Q1921404,P50,P19,P131
Q1309094,Q1973541,Q36433,Q3992,P19,P131,P190
Q7413148,Q8652,Q62823,Q767071,P19,P190,P47
Q5050360,Q45,Q128812,Q372254,P17,P163,P180
Q12214116,Q36180,Q37260,Q11024,P106,P425,P366
Q16896006,Q7070901,Q4453916,Q823740,P931,P1889,P131
Q7653555,Q66616,Q742938,Q892641,P19,P131,P47
Q28154225,Q668,Q197736,Q9089,P17,P35,P140
Q949297,Q668,Q156349,Q603631,P17,P35,P166
Q7562188,Q13560270,Q2352076,Q2691,P466,P417,P841
Q11605054,Q860278,Q193638,Q11434660,P69,P131,P150
Q5451333,Q145,Q590227,Q1795492,P17,P35,P69
Q16148393,Q1391871,Q490318,Q925017,P19,P131,P138
Q817772,Q20199830,Q46422,Q655,P1376,P131,P47
Q7528537,Q82955,Q7163,Q1573035,P106,P425,P527
Q22000873,Q89584,Q101589,Q1711638,P57,P22,P735
Q2396556,Q3181257,Q1773633,Q241920,P1066,P1327,P361
Q19661476,Q4925477,Q15733003,Q9309,P735,P460,P407
Q4549691,Q30,Q1014,Q862608,P17,P530,P150
Q15968152,Q1159009,Q1522259,Q652,P735,P460,P407
