predicate,object
http://schema.org/alternateName,BE
http://schema.org/alternateName,BE
http://schema.org/alternateName,BE
http://schema.org/alternateName,BE
http://schema.org/alternateName,Belgie
http://schema.org/alternateName,BEL
http://schema.org/alternateName,BEL
http://schema.org/alternateName,BEL
http://schema.org/alternateName,Belgique
http://schema.org/alternateName,België
http://schema.org/alternateName,BE
http://schema.org/alternateName,Belgien
http://schema.org/alternateName,Ɔman Belgium
http://schema.org/alternateName,🇧🇪
http://schema.org/alternateName,Белген
http://schema.org/alternateName,Bélgia
http://schema.org/alternateName,Bejgien
http://schema.org/alternateName,Бэльґія
http://schema.org/alternateName,Кралство Белгия
http://schema.org/alternateName,बेलजियम
http://schema.org/alternateName,बेल्जियम राज
http://schema.org/alternateName,बेल्जीयम
http://schema.org/alternateName,Beljiom
http://schema.org/alternateName,বেলজিয়াম রাজ্য
http://schema.org/alternateName,ᨅᨙᨒᨁᨗᨕ
http://schema.org/alternateName,Bélgica
http://schema.org/alternateName,België
http://schema.org/alternateName,Estat belga
http://schema.org/alternateName,Regne de Bèlgica
http://schema.org/alternateName,بەلژیک
http://schema.org/alternateName,بەلژیکا
http://schema.org/alternateName,Belgica
http://schema.org/alternateName,Belgiu
http://schema.org/alternateName,Regnu di u Belghju
http://schema.org/alternateName,Regnu di u Belgiu
http://schema.org/alternateName,België
http://schema.org/alternateName,Belgique
http://schema.org/alternateName,Kongeriget Belgien
http://schema.org/alternateName,Koninkrijk België
http://schema.org/alternateName,Royaume de Belgique
http://schema.org/alternateName,🇧🇪
http://schema.org/alternateName,Königreich Belgien
http://schema.org/alternateName,Βασίλειο του Βελγίου
http://schema.org/alternateName,be
http://schema.org/alternateName,🇧🇪
http://schema.org/alternateName,Kingdom of Belgium
http://schema.org/alternateName,Königreich Belgien
http://schema.org/alternateName,Koninkrijk België
http://schema.org/alternateName,Royaume de Belgique
http://schema.org/alternateName,Southern Netherlands
http://schema.org/alternateName,be
http://schema.org/alternateName,BE
http://schema.org/alternateName,🇧🇪
http://schema.org/alternateName,BEL
http://schema.org/alternateName,België
http://schema.org/alternateName,Belgien
http://schema.org/alternateName,Belgique
http://schema.org/alternateName,Kingdom of Belgium
http://schema.org/alternateName,Königreich Belgien
http://schema.org/alternateName,Koninkrijk België
http://schema.org/alternateName,Royaume de Belgique
http://schema.org/alternateName,Belgica
http://schema.org/alternateName,Reino de Belgica
http://schema.org/alternateName,Reino de Bélgica
http://schema.org/alternateName,بلجیم
http://schema.org/alternateName,Belgian kuningaskunta
http://schema.org/alternateName,be
http://schema.org/alternateName,🇧🇪
http://schema.org/alternateName,Belg.
http://schema.org/alternateName,Royaume de Belgique
http://schema.org/alternateName,Bèlgica
http://schema.org/alternateName,Belgien/fe
http://schema.org/alternateName,Βελγική
http://schema.org/alternateName,Belgien
http://schema.org/alternateName,🇧🇪
http://schema.org/alternateName,बेल्जियम बादशाहत
http://schema.org/alternateName,Kraljevina Belgija
http://schema.org/alternateName,Բելգիայի Թագավորություն
http://schema.org/alternateName,Regno del Belgio
http://schema.org/alternateName,EUの首都
http://schema.org/alternateName,ベルギー王国
http://schema.org/alternateName,Bèlgi
http://schema.org/alternateName,Kraton Bélgié
http://schema.org/alternateName,Белгиэ
http://schema.org/alternateName,បែលហ្សិក
http://schema.org/alternateName,បែលហ្ស៊ិក
http://schema.org/alternateName,벨기에 왕국
http://schema.org/alternateName,벨기에왕국
http://schema.org/alternateName,Beljie
http://schema.org/alternateName,Belgiya
http://schema.org/alternateName,Belgia
http://schema.org/alternateName,Belgium
http://schema.org/alternateName,Belgio
http://schema.org/alternateName,Оцязорксшись Бельгия
http://schema.org/alternateName,Кралство Белгија
http://schema.org/alternateName,🇧🇪
http://schema.org/alternateName,Renju tal-Belġju
http://schema.org/alternateName,بلجیک
http://schema.org/alternateName,Belgie
http://schema.org/alternateName,België
http://schema.org/alternateName,Belgien
http://schema.org/alternateName,Belgium
http://schema.org/alternateName,Pí-lī-sî
http://schema.org/alternateName,Tāi-pí-kok
http://schema.org/alternateName,Kongeriket Belgia
http://schema.org/alternateName,Belgie
http://schema.org/alternateName,🇧🇪
http://schema.org/alternateName,be
http://schema.org/alternateName,🇧🇪
http://schema.org/alternateName,Belgenland
http://schema.org/alternateName,Koninkrijk België
http://schema.org/alternateName,ਬੈਲਜੀਅਮ ਦਾ ਰਾਜ
http://schema.org/alternateName,Belgika
http://schema.org/alternateName,Belgium
http://schema.org/alternateName,Belika
http://schema.org/alternateName,Belgien
http://schema.org/alternateName,Królestwo Belgii
http://schema.org/alternateName,بیلجیم
http://schema.org/alternateName,بېلجیم
http://schema.org/alternateName,Reino da Bélgica
http://schema.org/alternateName,Belge
http://schema.org/alternateName,Belgio
http://schema.org/alternateName,Belgique
http://schema.org/alternateName,Королевство Бельгия
http://schema.org/alternateName,🇧🇪
http://schema.org/alternateName,ᱵᱮᱞᱡᱤᱭᱟᱢ
http://schema.org/alternateName,Belgia gonagasriika
http://schema.org/alternateName,Belgické kráľovstvo
http://schema.org/alternateName,Belgia kunâgâskodde
http://schema.org/alternateName,Belgia koonǥõskåʹdd
http://schema.org/alternateName,Krōlestwo Belgije
http://schema.org/alternateName,பெல்சியம்
http://schema.org/alternateName,பெல்ஜிய பேரரசு
http://schema.org/alternateName,Belgium
http://schema.org/alternateName,เบลเยียม
http://schema.org/alternateName,เบลเยี่ยม
http://schema.org/alternateName,ประเทศเบลเยี่ยม
http://schema.org/alternateName,ราชอาณาจักรเบลเยียม
http://schema.org/alternateName,ราชอาณาจักรเบลเยี่ยม
http://schema.org/alternateName,Belhika
http://schema.org/alternateName,Belçika Krallığı
http://schema.org/alternateName,Bɛlgyiom
http://schema.org/alternateName,Королівство Бельгія
http://schema.org/alternateName,بلجئیم
http://schema.org/alternateName,بیلجیم
http://schema.org/alternateName,مملکت بیلجیئم
http://schema.org/alternateName,BE
http://schema.org/alternateName,BEL
http://schema.org/alternateName,Bèlzega
http://schema.org/alternateName,Vương quốc Bỉ
http://schema.org/alternateName,BE
http://schema.org/alternateName,België
http://schema.org/alternateName,Belgien
http://schema.org/alternateName,Belgique
http://schema.org/alternateName,Belgium
http://schema.org/alternateName,Königreich Belgien
http://schema.org/alternateName,Koninkrijk België
http://schema.org/alternateName,Royaume de Belgique
http://schema.org/alternateName,België
http://schema.org/alternateName,比利时
http://schema.org/alternateName,比利时王国
http://schema.org/alternateName,比利時王國
http://schema.org/alternateName,比利时王国
http://schema.org/alternateName,比利时王国
http://schema.org/alternateName,比利時王國
http://schema.org/alternateName,比利時王國
http://schema.org/alternateName,比利時王國
http://schema.org/alternateName,比利时王国
http://schema.org/alternateName,比利时王国
http://schema.org/alternateName,比利時王國
http://schema.org/dateCreated,1830-10-04T00:00:00.000Z
http://schema.org/geo,Point(4.6680555555556 50.641111111111)
http://schema.org/image,http://commons.wikimedia.org/wiki/Special:FilePath/Belgique%20-%20Bruxelles%20-%20Grand-Place%20-%20C%C3%B4t%C3%A9%20nord-est.jpg
http://schema.org/mainEntityOfPage,https://ab.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D1%8C%D0%B3%D0%B8%D0%B0
http://schema.org/mainEntityOfPage,https://ace.wikipedia.org/wiki/B%C3%A8lgia
http://schema.org/mainEntityOfPage,https://ady.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D0%B3%D0%B8%D0%B5
http://schema.org/mainEntityOfPage,https://af.wikipedia.org/wiki/Belgi%C3%AB
http://schema.org/mainEntityOfPage,https://ak.wikipedia.org/wiki/Belgium
http://schema.org/mainEntityOfPage,https://als.wikipedia.org/wiki/Belgien
http://schema.org/mainEntityOfPage,https://am.wikipedia.org/wiki/%E1%89%A4%E1%88%8D%E1%8C%85%E1%8C%8D
http://schema.org/mainEntityOfPage,https://ami.wikipedia.org/wiki/Belguim
http://schema.org/mainEntityOfPage,https://an.wikipedia.org/wiki/Belchica
http://schema.org/mainEntityOfPage,https://ang.wikipedia.org/wiki/Belgice
http://schema.org/mainEntityOfPage,https://anp.wikipedia.org/wiki/%E0%A4%AC%E0%A5%87%E0%A4%B2%E0%A5%8D%E0%A4%9C%E0%A4%BF%E0%A4%AF%E0%A4%AE
http://schema.org/mainEntityOfPage,https://ar.wikinews.org/wiki/%D8%AA%D8%B5%D9%86%D9%8A%D9%81:%D8%A8%D9%84%D8%AC%D9%8A%D9%83%D8%A7
http://schema.org/mainEntityOfPage,https://ar.wikipedia.org/wiki/%D8%A8%D9%84%D8%AC%D9%8A%D9%83%D8%A7
http://schema.org/mainEntityOfPage,https://ar.wikiquote.org/wiki/%D8%A8%D9%84%D8%AC%D9%8A%D9%83%D8%A7
